activity_id,source,target,weight,type,year_start,year_end,original_value,source_url,notes,actor_category,era,impact,directness,scale,duration
CISCO_HUBS_01,Cisco Systems,Settlement Tech Hubs,0.7885,infrastructure_support,2019,2023,"Partnered on the 'Klika' program to launch tech hubs (45 hubs total); several hubs were placed in West Bank and Golan settlements, embedding Cisco equipment in occupied localities.",https://www.whoprofits.org/companies/company/6529?cisco-systems,Tech-enabled industrialization of occupied/settlement areas,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),land_confiscation,0.8,0.8,0.9
CISCO_SMARTCITY_01,Cisco Systems,Smart City Jerusalem,0.76,digital_control,2017,2020,"Installed communications systems and CCTV as part of a Jerusalem 'Smart City' pilot, enhancing municipal surveillance capacities that disproportionately affect Palestinian neighborhoods.",https://www.whoprofits.org/companies/company/6529?cisco-systems,Smart City surveillance reinforcing spatial control in Jerusalem,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),digital_control,0.8,0.8,0.8
CISCO_POLICE_01,Cisco Systems,Israeli Police Communications,0.76,institutional_support,2020,2021,"Supplied Nituv routing and related communications equipment purchased by the Israeli police (2020–2021), strengthening police communications and operational capacity.",https://www.whoprofits.org/companies/company/4125,Reinforces repressive policing infrastructure,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),institutional_control,0.8,0.8,0.8
JNF_ACQUIRE_01,Jewish National Fund,Land Acquisition & Evictions,0.8075,land_confiscation,1901,1948,Acquired land from absentee landowners; evicted Palestinian tenant farmers; laid foundations for exclusive Jewish settlement before 1948.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Colonial land purchase and eviction strategy; JNF constitution reserves land for Jewish use.,colonial_institution,British Mandate (1917–1948),land_confiscation,0.9,0.8,0.85
JNF_ACQUIRE_01,Jewish National Fund,Land Acquisition & Evictions,0.8075,land_confiscation,1948,1967,Post-Nakba consolidation of expropriated refugee lands under state/JNF control; continued exclusionary land regime.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Continuation of dispossession after 1948; JNF land cannot be leased/sold to non-Jews.,colonial_institution,1948 Nakba & State Formation (1948–1967),land_confiscation,0.9,0.8,0.85
JNF_PINES_01,Jewish National Fund,Afforestation with Non-Native Pines,0.8265,greenwashing,1935,1948,"Planted ~1.7 million European pine/eucalyptus trees (by 1935), replacing indigenous olive/carob/pistachio and altering ecosystems.",https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,"Exotic conifers increase acidity, reduce understory, heighten flammability; ecological disruption during Mandate era.",colonial_institution,British Mandate (1917–1948),ecological_disruption,0.8,0.9,0.9
JNF_VILLAGEFORESTS_01,Jewish National Fund,Forests Over Destroyed Villages,0.9025,greenwashing,1948,1967,"Forests and parks planted over razed villages (e.g., Ajjur, Zakariyya) to conceal expulsions and block return.",https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Trees used as a tool to fix dispossession post-Nakba.,colonial_institution,1948 Nakba & State Formation (1948–1967),land_confiscation,1.0,0.9,0.95
JNF_VILLAGEFORESTS_01,Jewish National Fund,Forests Over Destroyed Villages,0.8075,greenwashing,1967,1993,Continuation of forestation/parks masking depopulated localities; tactic to prevent return and recast heritage.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Long-run maintenance/expansion of forest covers.,colonial_institution,Occupation & Settlement Expansion (1967–1993),ecological_disruption,0.8,0.85,0.9
JNF_VILLAGEFORESTS_01,Jewish National Fund,Forests Over Destroyed Villages,0.8075,greenwashing,1993,2000,Oslo-era continuation of forestation as green cover for dispossession.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,‘Peace’ frame while maintaining erasure of village sites.,colonial_institution,Oslo Accords & Territorial Fragmentation (1993–2000),ecological_disruption,0.8,0.85,0.9
JNF_VILLAGEFORESTS_01,Jewish National Fund,Forests Over Destroyed Villages,0.8075,greenwashing,2007,2023,Blockade-era persistence of forest/park overlays on destroyed villages.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Ongoing ecological and cultural erasure.,colonial_institution,Gaza Blockade & Slow Violence (2007–2023),ecological_disruption,0.8,0.85,0.9
JNF_VILLAGEFORESTS_01,Jewish National Fund,Forests Over Destroyed Villages,0.8075,greenwashing,2023,2025,Post-2023 continuation of park/forest maintenance over erased localities.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Persistence of greenwashing tactic during current war context.,colonial_institution,2023–Present: Acute Ecological Destruction,ecological_disruption,0.8,0.85,0.9
JNF_CANADAPARK_01,Jewish National Fund,Canada Park over Imwas & Yalo,0.874,greenwashing,1967,1993,Canada Park built over villages Imwas and Yalo after 1967; marketed as ‘in Israel’ despite West Bank location.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Foreign-funded park entrenching erasure of depopulated villages.,colonial_institution,Occupation & Settlement Expansion (1967–1993),land_confiscation,0.9,0.9,0.95
JNF_BLUEPRINTNEGEV_01,Jewish National Fund,Blueprint Negev Displacement,0.836,land_confiscation,2007,2023,"$600m, 10-year program (afforestation, reservoirs, water projects) facilitating displacement of ~150,000 Bedouin in the Naqab.",https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Industrialization/green projects used to concentrate Bedouin and clear lands.,colonial_institution,Gaza Blockade & Slow Violence (2007–2023),land_confiscation,0.8,0.9,0.95
JNF_BLUEPRINTNEGEV_01,Jewish National Fund,Blueprint Negev Displacement,0.836,land_confiscation,2023,2025,Continuation of Naqab green/industrial projects that pressure displacement.,https://ejatlas.org/print/greenwashing-by-the-jewish-national-fund-and-trees-as-a-weapon-of-dispossession-israel,Ongoing impacts near unrecognized Bedouin villages.,colonial_institution,2023–Present: Acute Ecological Destruction,land_confiscation,0.8,0.9,0.95
CAT_D9_01,Caterpillar Inc.,D9 Armored Bulldozers for Demolitions,0.9215,military_infrastructure,1967,1993,"D9 bulldozers supplied to Israeli military since 1960s, extensively used in demolitions and invasions in the West Bank and Gaza.",https://www.whoprofits.org/companies/company/3772,Flagship Caterpillar D9s as central demolition and invasion tool.,military_supplier,Occupation & Settlement Expansion (1967–1993),demolition,1.0,1.0,1.0
CAT_D9_01,Caterpillar Inc.,D9 Armored Bulldozers for Demolitions,0.9215,military_infrastructure,1993,2000,Continued bulldozer use during Oslo period for demolitions and incursions.,https://www.whoprofits.org/companies/company/3772,Continuity of military deployment of bulldozers.,military_supplier,Oslo Accords & Territorial Fragmentation (1993–2000),demolition,1.0,1.0,1.0
CAT_D9_01,Caterpillar Inc.,D9 Armored Bulldozers for Demolitions,0.9215,military_infrastructure,2007,2023,"Regular bulldozer use in Gaza blockade era: house demolitions, invasions, road destruction.",https://www.whoprofits.org/companies/company/3772,Routine deployment for blockade enforcement.,military_supplier,Gaza Blockade & Slow Violence (2007–2023),demolition,1.0,1.0,1.0
CAT_D9_01,Caterpillar Inc.,D9 Armored Bulldozers for Demolitions,0.9215,military_infrastructure,2023,2025,"Used in ground invasion of Gaza, including Shifa Hospital raid and city destruction.",https://www.whoprofits.org/companies/company/3772,Key weapon of destruction during 2023–24 Gaza invasion.,military_supplier,2023–Present: Acute Ecological Destruction,demolition,1.0,1.0,1.0
CAT_PRESSURE_01,Caterpillar Inc.,Bulldozers in 'Pressure Cooker' Killings,0.855,military_infrastructure,2000,2023,"D9s and excavators used to demolish houses with people inside (e.g., Surif 2016, Qabalan 2014).",https://www.whoprofits.org/companies/company/3772,Bulldozers directly weaponized for extrajudicial killings.,military_supplier,Gaza Blockade & Slow Violence (2007–2023),extrajudicial_killing,1.0,0.8,0.9
CAT_PRESSURE_01,Caterpillar Inc.,Bulldozers in 'Pressure Cooker' Killings,0.855,military_infrastructure,2023,2025,Continued use of bulldozers in raids and demolitions during the Gaza war.,https://www.whoprofits.org/companies/company/3772,Continuation of extrajudicial demolition tactics.,military_supplier,2023–Present: Acute Ecological Destruction,extrajudicial_killing,1.0,0.8,0.9
CAT_SETTLE_01,Caterpillar Inc.,Settlement Construction & Roadworks,0.874,infrastructure_support,1980,1993,Machinery used for constructing settlements and settler-only roads.,https://www.whoprofits.org/companies/company/3772,Bulldozers and excavators central to West Bank settlement buildout.,military_supplier,Occupation & Settlement Expansion (1967–1993),land_fragmentation,0.9,0.9,1.0
CAT_SETTLE_01,Caterpillar Inc.,Settlement Construction & Roadworks,0.874,infrastructure_support,1993,2000,Settlement and bypass road expansion under Oslo period.,https://www.whoprofits.org/companies/company/3772,Continuation of settlement infrastructure projects.,military_supplier,Oslo Accords & Territorial Fragmentation (1993–2000),land_fragmentation,0.9,0.9,1.0
CAT_SETTLE_01,Caterpillar Inc.,Settlement Construction & Roadworks,0.874,infrastructure_support,2007,2023,"Use in roads, checkpoints, and settlement construction through blockade period.",https://www.whoprofits.org/companies/company/3772,Machinery enabling apartheid infrastructure expansion.,military_supplier,Gaza Blockade & Slow Violence (2007–2023),land_fragmentation,0.9,0.9,1.0
CAT_WALL_01,Caterpillar Inc.,Separation Wall & Gaza Barriers,0.8835,military_infrastructure,2002,2023,"Excavators documented in building the Separation Wall (Qalandiya, Al-Walaja) and Gaza maritime barrier.",https://www.whoprofits.org/companies/company/3772,Machinery critical to wall/barrier construction.,military_supplier,Gaza Blockade & Slow Violence (2007–2023),land_fragmentation,0.9,0.9,1.0
CAT_NAQAB_01,Caterpillar Inc.,Demolitions & JNF Afforestation in Naqab,0.836,land_confiscation,2007,2023,Bulldozers used in repeated demolitions of Al-Araqib village and JNF afforestation projects (Sa’we al-Atrash).,https://www.whoprofits.org/companies/company/3772,Machinery deployed in Bedouin displacement.,military_supplier,Gaza Blockade & Slow Violence (2007–2023),land_confiscation,0.8,0.9,0.9
CAT_NAQAB_01,Caterpillar Inc.,Demolitions & JNF Afforestation in Naqab,0.836,land_confiscation,2023,2025,Continued demolitions and forestation in Naqab displacing Bedouin communities.,https://www.whoprofits.org/companies/company/3772,Persistent role in dispossession and greenwashing.,military_supplier,2023–Present: Acute Ecological Destruction,land_confiscation,0.8,0.9,0.9
UNIT8200_LAVENDER_01,IDF Unit 8200,Lavender AI Targeting System,0.9025,digital_control,2023,2025,"Lavender flagged ~37,000 Palestinians as 'suspected militants' with minimal human oversight; outputs used as kill lists for Gaza airstrikes, normalizing mass civilian casualties.",https://www.972mag.com/lavender-ai-israeli-army-gaza/,"AI-enabled targeting treated as human-approved decisions, embedding automated ecocide in war conduct.",state_military,2023–Present: Acute Ecological Destruction,targeting_surveillance,0.95,1.0,0.9
MICROSOFT_SURV_01,Microsoft,Azure Cloud Surveillance of Palestinians,0.9025,digital_control,2022,2022,"Azure cloud used to store and process Palestinian phone metadata for Unit 8200; petabyte-scale processing (11,500 TB annually) before 2023 escalation.",https://www.theguardian.com/world/2025/aug/06/microsoft-israeli-military-palestinian-phone-calls-cloud,Corporate cloud infrastructure embedded in occupation’s surveillance regime.,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),surveillance,0.9,0.9,0.9
MICROSOFT_SURV_01,Microsoft,Azure Cloud Surveillance of Palestinians,0.9025,digital_control,2023,2025,"Azure systems enabled Unit 8200 to process millions of intercepted Palestinian calls daily during Gaza invasion; data informed mass targeting, detentions, and killings.",https://www.theguardian.com/world/2025/aug/06/microsoft-israeli-military-palestinian-phone-calls-cloud,"Cloud backbone for AI-driven surveillance and lethal operations, under scrutiny post-2023.",tech_corporation,2023–Present: Acute Ecological Destruction,surveillance,0.95,1.0,0.9
MICROSOFT_MODCLOUD_01,Microsoft,Ministry of Defense Cloud Contract,0.874,digital_control,2020,2023,"Microsoft Israel provided cloud infrastructure and software services to the Israeli Ministry of Defense, supporting military data centralization and digital transformation.",https://www.whoprofits.org/companies/company/7371?microsoft,Strengthened MOD’s reliance on foreign tech infrastructure for surveillance and military operations.,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),digital_control,0.9,0.9,0.9
MICROSOFT_MODCLOUD_01,Microsoft,Ministry of Defense Cloud Contract,0.874,digital_control,2023,2025,"Cloud contracts remained in place during the Gaza war, enabling expanded MOD reliance on Microsoft services for AI-driven operational systems.",https://www.whoprofits.org/companies/company/7371?microsoft,Operational continuity of corporate–military partnership in current conflict.,tech_corporation,2023–Present: Acute Ecological Destruction,digital_control,0.9,0.95,0.9
MICROSOFT_POLICE_01,Microsoft,Israel Police & Border Control Systems,0.8075,institutional_support,2015,2023,"Microsoft Israel supplied IT systems and support to Israeli police and border control agencies, enhancing digital capacity for surveillance and repression.",https://www.whoprofits.org/companies/company/7371?microsoft,Corporate digital backbone reinforcing police surveillance infrastructure.,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),institutional_control,0.8,0.9,0.9
MICROSOFT_POLICE_01,Microsoft,Israel Police & Border Control Systems,0.8075,institutional_support,2023,2025,"Support for Israeli police IT infrastructure continued through the 2023 escalation, with Microsoft products integrated into operational platforms.",https://www.whoprofits.org/companies/company/7371?microsoft,Post-2023 continuity of digital policing capacity under intensified repression.,tech_corporation,2023–Present: Acute Ecological Destruction,institutional_control,0.8,0.9,0.9
MICROSOFT_RND_01,Microsoft,R&D and Tech Centers in Israel,0.76,tech_development,2006,2023,"Operates Israel R&D centers (Herzliya, Haifa, Nazareth, Tel Aviv) focused on AI, cybersecurity, and cloud systems; provides infrastructure later applied in military and surveillance contexts.",https://www.whoprofits.org/companies/company/7371?microsoft,"Microsoft Israel as a strategic hub for AI and cloud services, feeding into national security ecosystem.",tech_corporation,Gaza Blockade & Slow Violence (2007–2023),tech_development,0.7,0.8,0.9
MICROSOFT_RND_01,Microsoft,R&D and Tech Centers in Israel,0.76,tech_development,2023,2025,"Ongoing Microsoft Israel R&D efforts in AI/cloud intersect with warfighting technologies, as dual-use applications are leveraged in Gaza conflict.",https://www.whoprofits.org/companies/company/7371?microsoft,Illustrates dual-use nature of global tech hubs during military escalation.,tech_corporation,2023–Present: Acute Ecological Destruction,tech_development,0.7,0.9,0.9
ELBIT_IMI_ACQ_01,Elbit Systems,Acquisition of IMI Systems,0.7789999999999999,corporate_acquisition,2018,2018,Elbit purchased state-owned IMI (NIS 1.8B) with relocation scheme to Ramat Beka industrial zone.,https://www.whoprofits.org/companies/company/3794?elbit-systems,Acquisition underpins expanded munitions capacity and future Naqab build-out.,defense_contractor,Gaza Blockade & Slow Violence (2007–2023),industrialization,0.7,0.9,0.8
ELBIT_RAMATBEKA_01,Elbit Systems,Ramat Beka Ammunition Factory (Naqab),0.855,military_industrial_expansion,2024,2025,New ammunition plant (NIS ~1.5B) in Ramat Beka industrial complex to supply IMOD.,https://www.whoprofits.org/companies/company/3794?elbit-systems,"Large complex (52,000 dunams) tied to forced Bedouin displacement and environmental risk.",defense_contractor,2023–Present: Acute Ecological Destruction,industrialization,0.9,1.0,1.0
ELBIT_IRONFIST_D9_01,Elbit Systems,Iron Fist APS on Caterpillar D9 & Eitan APCs,0.874,active_protection_system,2023,2024,Iron Fist installed on D9 bulldozers and Eitan APCs; operationally used in Gaza 2023–2024.,https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,APS enables breaching/urban operations and armored cover during demolitions.,defense_contractor,2023–Present: Acute Ecological Destruction,urban_destruction,1.0,0.9,0.7
ELBIT_HERMES_01,Elbit Systems,Hermes 450/900 UAVs – Gaza airstrikes,0.9025,weapons_platform,2014,2014,Hermes-series drones used to carry out airstrikes in Gaza (2014).,https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,Documented combat use in prior Gaza war.,defense_contractor,Gaza Blockade & Slow Violence (2007–2023),lethal_force,1.0,1.0,0.6
ELBIT_HERMES_01,Elbit Systems,Hermes 450/900 UAVs – Gaza airstrikes,0.9025,weapons_platform,2021,2021,Hermes-series drones used to carry out airstrikes in Gaza (2021).,https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,Repeat combat deployment.,defense_contractor,Gaza Blockade & Slow Violence (2007–2023),lethal_force,1.0,1.0,0.6
ELBIT_HERMES_01,Elbit Systems,Hermes 450/900 UAVs – Gaza airstrikes,0.9215,weapons_platform,2023,2024,Hermes 450/900 widely used by the Israeli Air Force in Gaza 2023–2024.,https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,Core aerial platform for strikes and targeting.,defense_contractor,2023–Present: Acute Ecological Destruction,lethal_force,1.0,1.0,0.8
ELBIT_MPR500_01,Elbit Systems,MPR 500 Bombs – Gaza strikes,0.8929999999999999,munitions,2014,2014,Elbit MPR 500 bombs used by IAF in Gaza (2014).,https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,Penetrator bomb documented in earlier Gaza war.,defense_contractor,Gaza Blockade & Slow Violence (2007–2023),lethal_force,1.0,1.0,0.5
ELBIT_MPR500_01,Elbit Systems,MPR 500 Bombs – Gaza strikes,0.9025,munitions,2023,2023,"Reported IAF use of MPR 500 in Gaza (Oct 19, 2023).",https://www.whoprofits.org/updates/the-companies-supplying-weapons-to-israels-attack-on-gaza,Renewed deployment during 2023 assault.,defense_contractor,2023–Present: Acute Ecological Destruction,lethal_force,1.0,1.0,0.5
